layer,accuracy,phon_lang,model_lang,model_seed
9,0.6908,de,en,1
10,0.683,de,en,1
11,0.6744,de,en,1
12,0.6422,de,en,1
0,0.3879,de,en,2
1,0.4991,de,en,2
2,0.5984,de,en,2
3,0.6314,de,en,2
4,0.6528,de,en,2
5,0.6725,de,en,2
6,0.6849,de,en,2
7,0.6876,de,en,2
8,0.687,de,en,2
9,0.6882,de,en,2
10,0.6768,de,en,2
11,0.6627,de,en,2
12,0.6284,de,en,2
0,0.3849,de,en,3
1,0.5021,de,en,3
2,0.5856,de,en,3
3,0.6312,de,en,3
4,0.6663,de,en,3
5,0.6742,de,en,3
6,0.6849,de,en,3
7,0.6874,de,en,3
8,0.6881,de,en,3
9,0.6885,de,en,3
10,0.6796,de,en,3
11,0.6708,de,en,3
12,0.6391,de,en,3
0,0.3889,de,en,4
1,0.501,de,en,4
2,0.5952,de,en,4
3,0.6295,de,en,4
4,0.6603,de,en,4
5,0.6813,de,en,4
6,0.6858,de,en,4
7,0.69,de,en,4
8,0.6929,de,en,4
9,0.6871,de,en,4
10,0.6777,de,en,4
11,0.6708,de,en,4
12,0.641,de,en,4
0,0.3865,de,en2fr,1
1,0.5002,de,en2fr,1
2,0.5844,de,en2fr,1
3,0.6247,de,en2fr,1
4,0.6531,de,en2fr,1
5,0.657,de,en2fr,1
6,0.6635,de,en2fr,1
7,0.6685,de,en2fr,1
8,0.6655,de,en2fr,1
9,0.6592,de,en2fr,1
10,0.6473,de,en2fr,1
11,0.6364,de,en2fr,1
12,0.5997,de,en2fr,1
0,0.3874,de,en2fr,4
1,0.4951,de,en2fr,4
2,0.5805,de,en2fr,4
3,0.6188,de,en2fr,4
4,0.6493,de,en2fr,4
5,0.6617,de,en2fr,4
6,0.6695,de,en2fr,4
7,0.6689,de,en2fr,4
8,0.6611,de,en2fr,4
9,0.6624,de,en2fr,4
10,0.6476,de,en2fr,4
11,0.6328,de,en2fr,4
12,0.5991,de,en2fr,4
0,0.3917,de,en2fr,5
1,0.5033,de,en2fr,5
2,0.5753,de,en2fr,5
3,0.6318,de,en2fr,5
4,0.6473,de,en2fr,5
5,0.6611,de,en2fr,5
6,0.6678,de,en2fr,5
7,0.6641,de,en2fr,5
8,0.6583,de,en2fr,5
9,0.6562,de,en2fr,5
10,0.6481,de,en2fr,5
11,0.6351,de,en2fr,5
12,0.6021,de,en2fr,5
0,0.389,de,en2fr,8
1,0.5,de,en2fr,8
2,0.5673,de,en2fr,8
3,0.6157,de,en2fr,8
4,0.6469,de,en2fr,8
5,0.6601,de,en2fr,8
6,0.6566,de,en2fr,8
7,0.666,de,en2fr,8
8,0.661,de,en2fr,8
9,0.649,de,en2fr,8
10,0.6368,de,en2fr,8
11,0.6311,de,en2fr,8
12,0.5958,de,en2fr,8
0,0.3962,de,fr,1
1,0.484,de,fr,1
2,0.561,de,fr,1
3,0.6,de,fr,1
4,0.6283,de,fr,1
5,0.651,de,fr,1
6,0.6531,de,fr,1
7,0.6585,de,fr,1
8,0.6621,de,fr,1
9,0.6677,de,fr,1
10,0.6561,de,fr,1
11,0.6419,de,fr,1
12,0.6094,de,fr,1
0,0.3998,de,fr,2
1,0.4925,de,fr,2
