layer,score,eval_lang,model_a,seed_a,model_b,seed_b,pre_steps
8,0.6042,de,de,2,fr,6,0
9,0.6139,de,de,2,fr,6,0
10,0.5009,de,de,2,fr,6,0
11,0.5205,de,de,2,fr,6,0
12,0.4833,de,de,2,fr,6,0
0,0.974,de,de,2,fr,7,0
1,0.8643,de,de,2,fr,7,0
2,0.715,de,de,2,fr,7,0
3,0.6267,de,de,2,fr,7,0
4,0.6043,de,de,2,fr,7,0
5,0.5706,de,de,2,fr,7,0
6,0.4932,de,de,2,fr,7,0
7,0.4941,de,de,2,fr,7,0
8,0.5821,de,de,2,fr,7,0
9,0.6452,de,de,2,fr,7,0
10,0.5733,de,de,2,fr,7,0
11,0.5275,de,de,2,fr,7,0
12,0.5306,de,de,2,fr,7,0
0,0.9763,de,de,3,fr,1,0
1,0.8454,de,de,3,fr,1,0
2,0.6958,de,de,3,fr,1,0
3,0.6594,de,de,3,fr,1,0
4,0.5624,de,de,3,fr,1,0
5,0.5578,de,de,3,fr,1,0
6,0.4688,de,de,3,fr,1,0
7,0.5296,de,de,3,fr,1,0
8,0.5695,de,de,3,fr,1,0
9,0.5864,de,de,3,fr,1,0
10,0.6168,de,de,3,fr,1,0
11,0.5178,de,de,3,fr,1,0
12,0.5683,de,de,3,fr,1,0
0,0.955,de,de,3,fr,2,0
1,0.8482,de,de,3,fr,2,0
2,0.6615,de,de,3,fr,2,0
3,0.6424,de,de,3,fr,2,0
4,0.5546,de,de,3,fr,2,0
5,0.5932,de,de,3,fr,2,0
6,0.54,de,de,3,fr,2,0
7,0.5587,de,de,3,fr,2,0
8,0.5994,de,de,3,fr,2,0
9,0.5849,de,de,3,fr,2,0
10,0.6035,de,de,3,fr,2,0
11,0.5494,de,de,3,fr,2,0
12,0.5803,de,de,3,fr,2,0
0,0.9643,de,de,3,fr,4,0
1,0.8598,de,de,3,fr,4,0
2,0.6921,de,de,3,fr,4,0
3,0.6794,de,de,3,fr,4,0
4,0.5817,de,de,3,fr,4,0
5,0.6248,de,de,3,fr,4,0
6,0.4629,de,de,3,fr,4,0
7,0.5059,de,de,3,fr,4,0
8,0.6189,de,de,3,fr,4,0
9,0.5956,de,de,3,fr,4,0
10,0.5917,de,de,3,fr,4,0
11,0.5423,de,de,3,fr,4,0
12,0.5351,de,de,3,fr,4,0
0,0.9679,de,de,3,fr,5,0
1,0.8386,de,de,3,fr,5,0
2,0.66,de,de,3,fr,5,0
3,0.6324,de,de,3,fr,5,0
4,0.5511,de,de,3,fr,5,0
5,0.6013,de,de,3,fr,5,0
6,0.6073,de,de,3,fr,5,0
7,0.5893,de,de,3,fr,5,0
8,0.4963,de,de,3,fr,5,0
9,0.5339,de,de,3,fr,5,0
10,0.6349,de,de,3,fr,5,0
11,0.5456,de,de,3,fr,5,0
12,0.5526,de,de,3,fr,5,0
0,0.9651,de,de,3,fr,6,0
1,0.8461,de,de,3,fr,6,0
2,0.6742,de,de,3,fr,6,0
3,0.6893,de,de,3,fr,6,0
4,0.5587,de,de,3,fr,6,0
5,0.6123,de,de,3,fr,6,0
6,0.499,de,de,3,fr,6,0
7,0.5308,de,de,3,fr,6,0
8,0.5886,de,de,3,fr,6,0
9,0.6058,de,de,3,fr,6,0
10,0.6257,de,de,3,fr,6,0
11,0.5411,de,de,3,fr,6,0
12,0.5247,de,de,3,fr,6,0
0,0.9722,de,de,3,fr,7,0
1,0.8591,de,de,3,fr,7,0
2,0.7039,de,de,3,fr,7,0
3,0.6963,de,de,3,fr,7,0
4,0.5938,de,de,3,fr,7,0
5,0.6522,de,de,3,fr,7,0
6,0.5572,de,de,3,fr,7,0
7,0.5278,de,de,3,fr,7,0
8,0.5742,de,de,3,fr,7,0
9,0.6367,de,de,3,fr,7,0
10,0.6533,de,de,3,fr,7,0
11,0.5631,de,de,3,fr,7,0
12,0.5742,de,de,3,fr,7,0
0,0.9779,de,de,4,fr,1,0
1,0.8162,de,de,4,fr,1,0
2,0.7326,de,de,4,fr,1,0
3,0.6225,de,de,4,fr,1,0
4,0.6082,de,de,4,fr,1,0
5,0.59,de,de,4,fr,1,0
6,0.5337,de,de,4,fr,1,0
7,0.6066,de,de,4,fr,1,0
8,0.5499,de,de,4,fr,1,0
9,0.5556,de,de,4,fr,1,0
10,0.5876,de,de,4,fr,1,0
11,0.5245,de,de,4,fr,1,0
12,0.5641,de,de,4,fr,1,0
0,0.9659,de,de,4,fr,2,0
1,0.8151,de,de,4,fr,2,0
2,0.7138,de,de,4,fr,2,0
3,0.6073,de,de,4,fr,2,0
4,0.6123,de,de,4,fr,2,0
5,0.6122,de,de,4,fr,2,0
6,0.5959,de,de,4,fr,2,0
7,0.6258,de,de,4,fr,2,0
8,0.5996,de,de,4,fr,2,0
9,0.6133,de,de,4,fr,2,0
10,0.5713,de,de,4,fr,2,0
11,0.5234,de,de,4,fr,2,0
12,0.5813,de,de,4,fr,2,0
0,0.9834,de,de,4,fr,4,0
1,0.8198,de,de,4,fr,4,0
2,0.7431,de,de,4,fr,4,0
3,0.6445,de,de,4,fr,4,0
4,0.6247,de,de,4,fr,4,0
5,0.649,de,de,4,fr,4,0
6,0.5407,de,de,4,fr,4,0
7,0.6114,de,de,4,fr,4,0
8,0.6153,de,de,4,fr,4,0
9,0.61,de,de,4,fr,4,0
10,0.5903,de,de,4,fr,4,0
11,0.5385,de,de,4,fr,4,0
12,0.5319,de,de,4,fr,4,0
0,0.9761,de,de,4,fr,5,0
1,0.8114,de,de,4,fr,5,0
2,0.7186,de,de,4,fr,5,0
3,0.6057,de,de,4,fr,5,0
4,0.6068,de,de,4,fr,5,0
5,0.6151,de,de,4,fr,5,0
6,0.6571,de,de,4,fr,5,0
7,0.6619,de,de,4,fr,5,0
8,0.4953,de,de,4,fr,5,0
9,0.5489,de,de,4,fr,5,0
10,0.6053,de,de,4,fr,5,0
11,0.5211,de,de,4,fr,5,0
12,0.5479,de,de,4,fr,5,0
0,0.9792,de,de,4,fr,6,0
1,0.8093,de,de,4,fr,6,0
2,0.7267,de,de,4,fr,6,0
3,0.6451,de,de,4,fr,6,0
4,0.6102,de,de,4,fr,6,0
5,0.632,de,de,4,fr,6,0
6,0.5761,de,de,4,fr,6,0
7,0.6256,de,de,4,fr,6,0
8,0.5762,de,de,4,fr,6,0
9,0.5926,de,de,4,fr,6,0
10,0.6067,de,de,4,fr,6,0
11,0.5369,de,de,4,fr,6,0
12,0.5278,de,de,4,fr,6,0
0,0.9753,de,de,4,fr,7,0
1,0.8256,de,de,4,fr,7,0
2,0.7496,de,de,4,fr,7,0
3,0.6667,de,de,4,fr,7,0
4,0.6537,de,de,4,fr,7,0
5,0.6647,de,de,4,fr,7,0
6,0.6252,de,de,4,fr,7,0
7,0.6011,de,de,4,fr,7,0
8,0.5543,de,de,4,fr,7,0
9,0.6382,de,de,4,fr,7,0
10,0.6183,de,de,4,fr,7,0
