epoch,layer,model_a,seed_a,model_b,seed_b,score
12,7,de,4,fr,4,0.6413
13,7,de,4,fr,4,0.5888
14,7,de,4,fr,4,0.6164
15,7,de,4,fr,4,0.5846
16,7,de,4,fr,4,0.5638
17,7,de,4,fr,4,0.6216
18,7,de,4,fr,4,0.6155
19,7,de,4,fr,4,0.5553
20,7,de,4,fr,4,0.6061
21,7,de,4,fr,4,0.5854
22,7,de,4,fr,4,0.6014
23,7,de,4,fr,4,0.5477
24,7,de,4,fr,4,0.6146
4,8,de,4,fr,4,0.6164
5,8,de,4,fr,4,0.6302
6,8,de,4,fr,4,0.6157
7,8,de,4,fr,4,0.6068
8,8,de,4,fr,4,0.6044
9,8,de,4,fr,4,0.6197
10,8,de,4,fr,4,0.601
11,8,de,4,fr,4,0.5991
12,8,de,4,fr,4,0.6154
13,8,de,4,fr,4,0.5961
14,8,de,4,fr,4,0.6206
15,8,de,4,fr,4,0.5736
16,8,de,4,fr,4,0.5925
17,8,de,4,fr,4,0.6078
18,8,de,4,fr,4,0.6108
19,8,de,4,fr,4,0.5768
20,8,de,4,fr,4,0.6007
21,8,de,4,fr,4,0.5787
22,8,de,4,fr,4,0.5841
23,8,de,4,fr,4,0.5694
24,8,de,4,fr,4,0.615
4,9,de,4,fr,4,0.5789
5,9,de,4,fr,4,0.612
6,9,de,4,fr,4,0.6206
7,9,de,4,fr,4,0.6189
8,9,de,4,fr,4,0.5854
9,9,de,4,fr,4,0.6246
10,9,de,4,fr,4,0.6031
11,9,de,4,fr,4,0.6138
12,9,de,4,fr,4,0.608
13,9,de,4,fr,4,0.6119
14,9,de,4,fr,4,0.5962
15,9,de,4,fr,4,0.6052
16,9,de,4,fr,4,0.6204
17,9,de,4,fr,4,0.5995
18,9,de,4,fr,4,0.64
19,9,de,4,fr,4,0.605
20,9,de,4,fr,4,0.638
21,9,de,4,fr,4,0.5943
22,9,de,4,fr,4,0.5873
23,9,de,4,fr,4,0.6021
24,9,de,4,fr,4,0.6077
4,10,de,4,fr,4,0.5425
5,10,de,4,fr,4,0.5706
6,10,de,4,fr,4,0.5662
7,10,de,4,fr,4,0.5759
8,10,de,4,fr,4,0.5597
9,10,de,4,fr,4,0.579
10,10,de,4,fr,4,0.589
11,10,de,4,fr,4,0.5931
12,10,de,4,fr,4,0.5866
13,10,de,4,fr,4,0.572
14,10,de,4,fr,4,0.5896
15,10,de,4,fr,4,0.589
16,10,de,4,fr,4,0.6064
17,10,de,4,fr,4,0.5902
18,10,de,4,fr,4,0.6036
19,10,de,4,fr,4,0.5878
20,10,de,4,fr,4,0.6128
21,10,de,4,fr,4,0.5781
22,10,de,4,fr,4,0.5784
23,10,de,4,fr,4,0.5858
24,10,de,4,fr,4,0.5871
4,11,de,4,fr,4,0.5305
5,11,de,4,fr,4,0.5416
6,11,de,4,fr,4,0.5226
7,11,de,4,fr,4,0.5229
8,11,de,4,fr,4,0.5186
9,11,de,4,fr,4,0.5362
10,11,de,4,fr,4,0.5467
11,11,de,4,fr,4,0.5593
12,11,de,4,fr,4,0.5414
13,11,de,4,fr,4,0.53
14,11,de,4,fr,4,0.5473
15,11,de,4,fr,4,0.5221
16,11,de,4,fr,4,0.5631
17,11,de,4,fr,4,0.5477
18,11,de,4,fr,4,0.5474
19,11,de,4,fr,4,0.5458
20,11,de,4,fr,4,0.5536
21,11,de,4,fr,4,0.5254
22,11,de,4,fr,4,0.5279
23,11,de,4,fr,4,0.5207
24,11,de,4,fr,4,0.5305
4,12,de,4,fr,4,0.3993
5,12,de,4,fr,4,0.4257
6,12,de,4,fr,4,0.4349
7,12,de,4,fr,4,0.4977
8,12,de,4,fr,4,0.4759
9,12,de,4,fr,4,0.5148
10,12,de,4,fr,4,0.5044
11,12,de,4,fr,4,0.4902
12,12,de,4,fr,4,0.5143
13,12,de,4,fr,4,0.4923
14,12,de,4,fr,4,0.5093
15,12,de,4,fr,4,0.5278
16,12,de,4,fr,4,0.5188
17,12,de,4,fr,4,0.476
18,12,de,4,fr,4,0.4986
19,12,de,4,fr,4,0.545
20,12,de,4,fr,4,0.5166
21,12,de,4,fr,4,0.5246
22,12,de,4,fr,4,0.5024
23,12,de,4,fr,4,0.5325
24,12,de,4,fr,4,0.5298
4,0,de,4,fr,6,0.9786
5,0,de,4,fr,6,0.9817
6,0,de,4,fr,6,0.9823
7,0,de,4,fr,6,0.9747
8,0,de,4,fr,6,0.9612
9,0,de,4,fr,6,0.9709
10,0,de,4,fr,6,0.9843
11,0,de,4,fr,6,0.9797
12,0,de,4,fr,6,0.9736
13,0,de,4,fr,6,0.9752
14,0,de,4,fr,6,0.9747
15,0,de,4,fr,6,0.972
16,0,de,4,fr,6,0.9726
17,0,de,4,fr,6,0.9564
18,0,de,4,fr,6,0.9582
19,0,de,4,fr,6,0.9772
20,0,de,4,fr,6,0.9826
21,0,de,4,fr,6,0.9682
