steps,valid_acc,label
1800,0.894,de5_fr25_take6
1900,0.898,de5_fr25_take6
2000,0.9,de5_fr25_take6
2100,0.903,de5_fr25_take6
2200,0.905,de5_fr25_take6
2300,0.906,de5_fr25_take6
2400,0.908,de5_fr25_take6
2500,0.909,de5_fr25_take6
2600,0.912,de5_fr25_take6
2700,0.914,de5_fr25_take6
2800,0.916,de5_fr25_take6
2900,0.917,de5_fr25_take6
3000,0.92,de5_fr25_take6
0,0,de5_fr25_take7
100,0.0948,de5_fr25_take7
200,0.15,de5_fr25_take7
300,0.309,de5_fr25_take7
400,0.46,de5_fr25_take7
500,0.6,de5_fr25_take7
600,0.706,de5_fr25_take7
700,0.766,de5_fr25_take7
800,0.802,de5_fr25_take7
900,0.826,de5_fr25_take7
1000,0.837,de5_fr25_take7
1100,0.855,de5_fr25_take7
1200,0.864,de5_fr25_take7
1300,0.872,de5_fr25_take7
1400,0.88,de5_fr25_take7
1500,0.886,de5_fr25_take7
1600,0.891,de5_fr25_take7
1700,0.894,de5_fr25_take7
1800,0.898,de5_fr25_take7
1900,0.901,de5_fr25_take7
2000,0.903,de5_fr25_take7
2100,0.905,de5_fr25_take7
2200,0.909,de5_fr25_take7
2300,0.911,de5_fr25_take7
2400,0.912,de5_fr25_take7
2500,0.914,de5_fr25_take7
2600,0.916,de5_fr25_take7
2700,0.917,de5_fr25_take7
2800,0.917,de5_fr25_take7
2900,0.92,de5_fr25_take7
3000,0.922,de5_fr25_take7
0,0,en5_fr25
100,0.0894,en5_fr25
200,0.173,en5_fr25
300,0.325,en5_fr25
400,0.438,en5_fr25
500,0.552,en5_fr25
600,0.659,en5_fr25
700,0.727,en5_fr25
800,0.773,en5_fr25
900,0.806,en5_fr25
1000,0.821,en5_fr25
1100,0.842,en5_fr25
1200,0.854,en5_fr25
1300,0.863,en5_fr25
1400,0.871,en5_fr25
1500,0.877,en5_fr25
1600,0.884,en5_fr25
1700,0.887,en5_fr25
1800,0.893,en5_fr25
1900,0.898,en5_fr25
2000,0.9,en5_fr25
2100,0.902,en5_fr25
2200,0.906,en5_fr25
2300,0.908,en5_fr25
2400,0.91,en5_fr25
2500,0.911,en5_fr25
2600,0.913,en5_fr25
2700,0.913,en5_fr25
2800,0.914,en5_fr25
2900,0.917,en5_fr25
3000,0.919,en5_fr25
0,0,en5_fr25_take2
100,0.0932,en5_fr25_take2
200,0.145,en5_fr25_take2
300,0.3,en5_fr25_take2
400,0.413,en5_fr25_take2
500,0.51,en5_fr25_take2
600,0.621,en5_fr25_take2
700,0.712,en5_fr25_take2
800,0.762,en5_fr25_take2
900,0.797,en5_fr25_take2
1000,0.818,en5_fr25_take2
1100,0.84,en5_fr25_take2
1200,0.853,en5_fr25_take2
1300,0.862,en5_fr25_take2
1400,0.87,en5_fr25_take2
1500,0.877,en5_fr25_take2
1600,0.885,en5_fr25_take2
1700,0.888,en5_fr25_take2
1800,0.893,en5_fr25_take2
1900,0.896,en5_fr25_take2
2000,0.9,en5_fr25_take2
2100,0.902,en5_fr25_take2
2200,0.903,en5_fr25_take2
2300,0.908,en5_fr25_take2
2400,0.909,en5_fr25_take2
2500,0.912,en5_fr25_take2
2600,0.913,en5_fr25_take2
2700,0.914,en5_fr25_take2
2800,0.916,en5_fr25_take2
2900,0.917,en5_fr25_take2
3000,0.92,en5_fr25_take2
0,0,en5_fr25_take3
100,0.0917,en5_fr25_take3
200,0.16,en5_fr25_take3
300,0.319,en5_fr25_take3
400,0.446,en5_fr25_take3
500,0.576,en5_fr25_take3
600,0.671,en5_fr25_take3
700,0.743,en5_fr25_take3
800,0.782,en5_fr25_take3
900,0.809,en5_fr25_take3
1000,0.826,en5_fr25_take3
1100,0.844,en5_fr25_take3
1200,0.857,en5_fr25_take3
1300,0.865,en5_fr25_take3
1400,0.873,en5_fr25_take3
1500,0.879,en5_fr25_take3
1600,0.886,en5_fr25_take3
1700,0.889,en5_fr25_take3
1800,0.894,en5_fr25_take3
1900,0.899,en5_fr25_take3
2000,0.901,en5_fr25_take3
2100,0.904,en5_fr25_take3
2200,0.906,en5_fr25_take3
2300,0.909,en5_fr25_take3
2400,0.911,en5_fr25_take3
2500,0.912,en5_fr25_take3
2600,0.914,en5_fr25_take3
2700,0.916,en5_fr25_take3
2800,0.915,en5_fr25_take3
2900,0.919,en5_fr25_take3
3000,0.92,en5_fr25_take3
0,0,en5_fr25_take4
100,0.0918,en5_fr25_take4
200,0.17,en5_fr25_take4
300,0.318,en5_fr25_take4
400,0.432,en5_fr25_take4
500,0.552,en5_fr25_take4
600,0.654,en5_fr25_take4
700,0.729,en5_fr25_take4
800,0.775,en5_fr25_take4
900,0.806,en5_fr25_take4
1000,0.825,en5_fr25_take4
1100,0.842,en5_fr25_take4
1200,0.857,en5_fr25_take4
1300,0.865,en5_fr25_take4
1400,0.874,en5_fr25_take4
1500,0.88,en5_fr25_take4
1600,0.888,en5_fr25_take4
1700,0.891,en5_fr25_take4
1800,0.895,en5_fr25_take4
1900,0.898,en5_fr25_take4
2000,0.902,en5_fr25_take4
2100,0.904,en5_fr25_take4
2200,0.906,en5_fr25_take4
2300,0.908,en5_fr25_take4
2400,0.91,en5_fr25_take4
2500,0.913,en5_fr25_take4
2600,0.914,en5_fr25_take4
2700,0.916,en5_fr25_take4
2800,0.915,en5_fr25_take4
2900,0.917,en5_fr25_take4
3000,0.918,en5_fr25_take4
0,0,en5_fr25_take5
100,0.0914,en5_fr25_take5
200,0.193,en5_fr25_take5
300,0.334,en5_fr25_take5
400,0.443,en5_fr25_take5
500,0.551,en5_fr25_take5
600,0.658,en5_fr25_take5
700,0.726,en5_fr25_take5
800,0.771,en5_fr25_take5
900,0.801,en5_fr25_take5
1000,0.821,en5_fr25_take5
1100,0.839,en5_fr25_take5
1200,0.851,en5_fr25_take5
1300,0.862,en5_fr25_take5
1400,0.871,en5_fr25_take5
1500,0.877,en5_fr25_take5
1600,0.883,en5_fr25_take5
1700,0.887,en5_fr25_take5
1800,0.89,en5_fr25_take5
1900,0.895,en5_fr25_take5
2000,0.897,en5_fr25_take5
2100,0.902,en5_fr25_take5
2200,0.904,en5_fr25_take5
2300,0.906,en5_fr25_take5
2400,0.908,en5_fr25_take5
2500,0.91,en5_fr25_take5
2600,0.91,en5_fr25_take5
2700,0.913,en5_fr25_take5
2800,0.914,en5_fr25_take5
2900,0.916,en5_fr25_take5
3000,0.917,en5_fr25_take5
0,0,en5_fr25_take6
100,0.002,en5_fr25_take6
200,0.148,en5_fr25_take6
300,0.3,en5_fr25_take6
400,0.417,en5_fr25_take6
500,0.537,en5_fr25_take6
600,0.647,en5_fr25_take6
700,0.726,en5_fr25_take6
800,0.774,en5_fr25_take6
900,0.807,en5_fr25_take6
1000,0.823,en5_fr25_take6
1100,0.845,en5_fr25_take6
1200,0.858,en5_fr25_take6
1300,0.866,en5_fr25_take6
1400,0.874,en5_fr25_take6
1500,0.88,en5_fr25_take6
1600,0.885,en5_fr25_take6
1700,0.89,en5_fr25_take6
1800,0.895,en5_fr25_take6
1900,0.899,en5_fr25_take6
2000,0.901,en5_fr25_take6
2100,0.905,en5_fr25_take6
2200,0.907,en5_fr25_take6
2300,0.909,en5_fr25_take6
2400,0.91,en5_fr25_take6
