name,layer,lang_a,epoch_a,lang_b,epoch_b,score
de25_v_fr25_ckpt25_layer7,7,de25,25,fr25,25,0.5338991284370422
de25_v_fr25_ckpt24_layer8,8,de25,24,fr25,24,0.6260309815406799
de25_v_fr25_ckpt25_layer8,8,de25,25,fr25,25,0.5814570188522339
de25_v_fr25_ckpt24_layer9,9,de25,24,fr25,24,0.6364867687225342
de25_v_fr25_ckpt25_layer9,9,de25,25,fr25,25,0.5865890383720398
de25_v_fr25_ckpt24_layer10,10,de25,24,fr25,24,0.633952796459198
de25_v_fr25_ckpt25_layer10,10,de25,25,fr25,25,0.5933578610420227
de25_v_fr25_ckpt24_layer11,11,de25,24,fr25,24,0.530134379863739
de25_v_fr25_ckpt25_layer11,11,de25,25,fr25,25,0.49651092290878296
de25_v_fr25_take2_ckpt24_layer0,0,de25,24,fr25_take2,24,0.9670795202255249
de25_v_fr25_take2_ckpt25_layer0,0,de25,25,fr25_take2,25,0.9344498515129089
de25_v_fr25_take2_ckpt24_layer1,1,de25,24,fr25_take2,24,0.8917310833930969
de25_v_fr25_take2_ckpt25_layer1,1,de25,25,fr25_take2,25,0.8529962301254272
de25_v_fr25_take2_ckpt24_layer2,2,de25,24,fr25_take2,24,0.6288539171218872
de25_v_fr25_take2_ckpt25_layer2,2,de25,25,fr25_take2,25,0.6073651909828186
de25_v_fr25_take2_ckpt24_layer3,3,de25,24,fr25_take2,24,0.5152973532676697
de25_v_fr25_take2_ckpt25_layer3,3,de25,25,fr25_take2,25,0.544074535369873
de25_v_fr25_take2_ckpt24_layer4,4,de25,24,fr25_take2,24,0.5222005248069763
de25_v_fr25_take2_ckpt25_layer4,4,de25,25,fr25_take2,25,0.5450605750083923
de25_v_fr25_take2_ckpt24_layer5,5,de25,24,fr25_take2,24,0.5029978156089783
de25_v_fr25_take2_ckpt25_layer5,5,de25,25,fr25_take2,25,0.5456331372261047
de25_v_fr25_take2_ckpt24_layer6,6,de25,24,fr25_take2,24,0.44237932562828064
de25_v_fr25_take2_ckpt25_layer6,6,de25,25,fr25_take2,25,0.49025702476501465
de25_v_fr25_take2_ckpt24_layer7,7,de25,24,fr25_take2,24,0.46492671966552734
de25_v_fr25_take2_ckpt25_layer7,7,de25,25,fr25_take2,25,0.5046916604042053
de25_v_fr25_take2_ckpt24_layer8,8,de25,24,fr25_take2,24,0.5941495299339294
de25_v_fr25_take2_ckpt25_layer8,8,de25,25,fr25_take2,25,0.5767562389373779
de25_v_fr25_take2_ckpt24_layer9,9,de25,24,fr25_take2,24,0.6810487508773804
de25_v_fr25_take2_ckpt25_layer9,9,de25,25,fr25_take2,25,0.6521384716033936
de25_v_fr25_take2_ckpt24_layer10,10,de25,24,fr25_take2,24,0.6236664056777954
de25_v_fr25_take2_ckpt25_layer10,10,de25,25,fr25_take2,25,0.6001803278923035
de25_v_fr25_take2_ckpt24_layer11,11,de25,24,fr25_take2,24,0.5437039732933044
de25_v_fr25_take2_ckpt25_layer11,11,de25,25,fr25_take2,25,0.5150609612464905
de25_v_fr25_take3_ckpt24_layer0,0,de25,24,fr25_take3,24,0.28351548314094543
de25_v_fr25_take3_ckpt25_layer0,0,de25,25,fr25_take3,25,0.41177898645401
de25_v_fr25_take3_ckpt24_layer1,1,de25,24,fr25_take3,24,-0.06989457458257675
de25_v_fr25_take3_ckpt25_layer1,1,de25,25,fr25_take3,25,-0.09561870992183685
de25_v_fr25_take3_ckpt24_layer2,2,de25,24,fr25_take3,24,-0.11401242017745972
de25_v_fr25_take3_ckpt25_layer2,2,de25,25,fr25_take3,25,-0.09826554358005524
de25_v_fr25_take3_ckpt24_layer3,3,de25,24,fr25_take3,24,-0.08704059571027756
de25_v_fr25_take3_ckpt25_layer3,3,de25,25,fr25_take3,25,-0.08179338276386261
de25_v_fr25_take3_ckpt24_layer4,4,de25,24,fr25_take3,24,-0.11990641057491302
de25_v_fr25_take3_ckpt25_layer4,4,de25,25,fr25_take3,25,-0.11681907624006271
de25_v_fr25_take3_ckpt24_layer5,5,de25,24,fr25_take3,24,-0.0622163824737072
de25_v_fr25_take3_ckpt25_layer5,5,de25,25,fr25_take3,25,-0.05492947995662689
de25_v_fr25_take3_ckpt24_layer6,6,de25,24,fr25_take3,24,-0.06190760061144829
de25_v_fr25_take3_ckpt25_layer6,6,de25,25,fr25_take3,25,-0.09929738193750381
de25_v_fr25_take3_ckpt24_layer7,7,de25,24,fr25_take3,24,-0.003743465058505535
de25_v_fr25_take3_ckpt25_layer7,7,de25,25,fr25_take3,25,-0.033680424094200134
de25_v_fr25_take3_ckpt24_layer8,8,de25,24,fr25_take3,24,-0.0021913484670221806
de25_v_fr25_take3_ckpt25_layer8,8,de25,25,fr25_take3,25,-0.0036806000862270594
de25_v_fr25_take3_ckpt24_layer9,9,de25,24,fr25_take3,24,0.10440558195114136
de25_v_fr25_take3_ckpt25_layer9,9,de25,25,fr25_take3,25,0.10948356240987778
de25_v_fr25_take3_ckpt24_layer10,10,de25,24,fr25_take3,24,0.09741752594709396
de25_v_fr25_take3_ckpt25_layer10,10,de25,25,fr25_take3,25,0.060090698301792145
de25_v_fr25_take3_ckpt24_layer11,11,de25,24,fr25_take3,24,0.20315395295619965
de25_v_fr25_take3_ckpt25_layer11,11,de25,25,fr25_take3,25,0.20014625787734985
de25_v_de25_take4_ckpt24_layer0,0,de25,24,de25_take4,24,0.9266402125358582
de25_v_de25_take4_ckpt25_layer0,0,de25,25,de25_take4,25,0.973119854927063
de25_v_de25_take4_ckpt24_layer1,1,de25,24,de25_take4,24,0.8888896703720093
de25_v_de25_take4_ckpt25_layer1,1,de25,25,de25_take4,25,0.9253411889076233
de25_v_de25_take4_ckpt24_layer2,2,de25,24,de25_take4,24,0.8551414608955383
de25_v_de25_take4_ckpt25_layer2,2,de25,25,de25_take4,25,0.89174884557724
de25_v_de25_take4_ckpt24_layer3,3,de25,24,de25_take4,24,0.8676090240478516
de25_v_de25_take4_ckpt25_layer3,3,de25,25,de25_take4,25,0.9110244512557983
de25_v_de25_take4_ckpt24_layer4,4,de25,24,de25_take4,24,0.8977733254432678
de25_v_de25_take4_ckpt25_layer4,4,de25,25,de25_take4,25,0.9170017242431641
de25_v_de25_take4_ckpt24_layer5,5,de25,24,de25_take4,24,0.8589931130409241
de25_v_de25_take4_ckpt25_layer5,5,de25,25,de25_take4,25,0.9018788933753967
de25_v_de25_take4_ckpt24_layer6,6,de25,24,de25_take4,24,0.8007450699806213
de25_v_de25_take4_ckpt25_layer6,6,de25,25,de25_take4,25,0.8705042600631714
de25_v_de25_take4_ckpt24_layer7,7,de25,24,de25_take4,24,0.7386776208877563
de25_v_de25_take4_ckpt25_layer7,7,de25,25,de25_take4,25,0.8317644000053406
de25_v_de25_take4_ckpt24_layer8,8,de25,24,de25_take4,24,0.8175808787345886
de25_v_de25_take4_ckpt25_layer8,8,de25,25,de25_take4,25,0.8394056558609009
de25_v_de25_take4_ckpt24_layer9,9,de25,24,de25_take4,24,0.8413131237030029
de25_v_de25_take4_ckpt25_layer9,9,de25,25,de25_take4,25,0.8512318730354309
de25_v_de25_take4_ckpt24_layer10,10,de25,24,de25_take4,24,0.8221997022628784
de25_v_de25_take4_ckpt25_layer10,10,de25,25,de25_take4,25,0.8354755640029907
de25_v_de25_take4_ckpt24_layer11,11,de25,24,de25_take4,24,0.8470213413238525
de25_v_de25_take4_ckpt25_layer11,11,de25,25,de25_take4,25,0.8574992418289185
de25_v_fr25_take4_ckpt24_layer0,0,de25,24,fr25_take4,24,0.9158205986022949
de25_v_fr25_take4_ckpt25_layer0,0,de25,25,fr25_take4,25,0.9691755771636963
de25_v_fr25_take4_ckpt24_layer1,1,de25,24,fr25_take4,24,0.869918942451477
de25_v_fr25_take4_ckpt25_layer1,1,de25,25,fr25_take4,25,0.8721652626991272
de25_v_fr25_take4_ckpt24_layer2,2,de25,24,fr25_take4,24,0.6396813988685608
de25_v_fr25_take4_ckpt25_layer2,2,de25,25,fr25_take4,25,0.6338925361633301
de25_v_fr25_take4_ckpt24_layer3,3,de25,24,fr25_take4,24,0.454365611076355
de25_v_fr25_take4_ckpt25_layer3,3,de25,25,fr25_take4,25,0.5151036977767944
de25_v_fr25_take4_ckpt24_layer4,4,de25,24,fr25_take4,24,0.481442391872406
de25_v_fr25_take4_ckpt25_layer4,4,de25,25,fr25_take4,25,0.5167874097824097
de25_v_fr25_take4_ckpt24_layer5,5,de25,24,fr25_take4,24,0.5183320641517639
de25_v_fr25_take4_ckpt25_layer5,5,de25,25,fr25_take4,25,0.5439596772193909
de25_v_fr25_take4_ckpt24_layer6,6,de25,24,fr25_take4,24,0.3907521665096283
de25_v_fr25_take4_ckpt25_layer6,6,de25,25,fr25_take4,25,0.42180511355400085
de25_v_fr25_take4_ckpt24_layer7,7,de25,24,fr25_take4,24,0.46272167563438416
de25_v_fr25_take4_ckpt25_layer7,7,de25,25,fr25_take4,25,0.4133322834968567
de25_v_fr25_take4_ckpt24_layer8,8,de25,24,fr25_take4,24,0.6186941266059875
de25_v_fr25_take4_ckpt25_layer8,8,de25,25,fr25_take4,25,0.5707014203071594
de25_v_fr25_take4_ckpt24_layer9,9,de25,24,fr25_take4,24,0.6450490951538086
de25_v_fr25_take4_ckpt25_layer9,9,de25,25,fr25_take4,25,0.6117050051689148
de25_v_fr25_take4_ckpt24_layer10,10,de25,24,fr25_take4,24,0.6046128869056702
de25_v_fr25_take4_ckpt25_layer10,10,de25,25,fr25_take4,25,0.5827586650848389
de25_v_fr25_take4_ckpt24_layer11,11,de25,24,fr25_take4,24,0.5402505397796631
de25_v_fr25_take4_ckpt25_layer11,11,de25,25,fr25_take4,25,0.5172966122627258
de25_take2_v_de25_take3_ckpt24_layer0,0,de25_take2,24,de25_take3,24,0.9303540587425232
de25_take2_v_de25_take3_ckpt25_layer0,0,de25_take2,25,de25_take3,25,0.9780088067054749
de25_take2_v_de25_take3_ckpt24_layer1,1,de25_take2,24,de25_take3,24,0.8921142816543579
de25_take2_v_de25_take3_ckpt25_layer1,1,de25_take2,25,de25_take3,25,0.9086182117462158
de25_take2_v_de25_take3_ckpt24_layer2,2,de25_take2,24,de25_take3,24,0.8583269119262695
de25_take2_v_de25_take3_ckpt25_layer2,2,de25_take2,25,de25_take3,25,0.8579093217849731
de25_take2_v_de25_take3_ckpt24_layer3,3,de25_take2,24,de25_take3,24,0.8645489811897278
de25_take2_v_de25_take3_ckpt25_layer3,3,de25_take2,25,de25_take3,25,0.8517913222312927
de25_take2_v_de25_take3_ckpt24_layer4,4,de25_take2,24,de25_take3,24,0.8564653992652893
de25_take2_v_de25_take3_ckpt25_layer4,4,de25_take2,25,de25_take3,25,0.8700725436210632
de25_take2_v_de25_take3_ckpt24_layer5,5,de25_take2,24,de25_take3,24,0.7927263379096985
de25_take2_v_de25_take3_ckpt25_layer5,5,de25_take2,25,de25_take3,25,0.8363439440727234
de25_take2_v_de25_take3_ckpt24_layer6,6,de25_take2,24,de25_take3,24,0.768212616443634
de25_take2_v_de25_take3_ckpt25_layer6,6,de25_take2,25,de25_take3,25,0.8150911927223206
de25_take2_v_de25_take3_ckpt24_layer7,7,de25_take2,24,de25_take3,24,0.7973797917366028
de25_take2_v_de25_take3_ckpt25_layer7,7,de25_take2,25,de25_take3,25,0.8303989171981812
